Gene Name,Common-Name,Accession-1
EG30110,valU,b2401
EG10278,fadA,b3845
G7536,yghE,b2969
EG11266,waaH,b3615
G6767,yncI,b1458
EG10585,metF,b3941
EG12117,ompX,b0814
EG30109,valT,b0744
EG10537,livG,b3455
G0-10466,yheV,b4551
EG10392,glpB,b2242
EG11793,ygdD,b2807
EG10590,metL,b3940
EG30108,tyrV,b1230
EG10510,rpoS,b2741
G7572,mqsR,b3022
EG10543,lpd,b0116
EG12112,alpA,b2624
EG30107,tyrU,b3977
G7800,rffT,b4481
EG12097,pgeF,b2593
EG10983,suhB,b2533
EG11310,ydbD,b1407
EG30106,tyrT,b1231
G7686,aaeA,b3241
G7624,tdcG,b4471
G6766,yncH,b1455
EG10408,glyA,b2551
EG11901,ydaC,b1347
EG30105,trpT,b3761
EG10536,livF,b3454
G0-10462,ypeB,b4546
G6345,dpiB,b0619
EG11763,yibG,b3596
EG10550,lysC,b4024
G7563,yqhC,b3010
G7354,yfiR,b2603
EG10371,gcvH,b2904
EG11900,ralR,b1348
EG30104,thrW,b0244
EG12057,ccmC,b2199
EG12043,yejL,b2187
EG10018,csrD,b3252
EG10958,soxS,b4062
G6943,astA,b1747
G7478,ygeN,b2858
EG11262,tsgA,b3364
G6765,yncG,b1454
EG10328,folD,b0529
EG11899,recT,b1349
EG30103,thrV,b3273
EG10389,glnQ,b0809
G0-10455,yecJ,b4537
EG10391,glpA,b2241
EG11749,yadE,b0130
EG10549,lysA,b2838
G7488,ygeV,b2869
G7049,dgcQ,b1956
EG10327,folC,b2315
EG11783,intA,b2622
EG30102,thrU,b3976
G7241,lpxP,b2378
EG12021,yohH,b2139
EG10957,soxR,b4063
G7685,aaeB,b3240
G6942,astD,b1746
G6760,curA,b1449
EG10326,folA,b0048
EG11740,nfrA,b0568
EG30101,thrT,b3979
EG10152,modC,b0765
G0-10450,ydbJ,b4529
G6338,citT,b0612
EG11696,yidH,b3676
EG10209,dapF,b3809
G7475,ygeK,b2855
G6972,dgcJ,b1786
EG12073,ftp,b2214
EG11739,nfrB,b0569
EG30097,serX,b1032
EG12054,ccmF,b2196
EG12005,yehS,b2124
EG10954,sodB,b1656
G6941,astB,b1745
G7474,pbl,b2854
EG11258,focA,b0904
G6757,ydcY,b1446
EG11653,cyaY,b3807
EG11635,nohB,b0560
EG30096,serW,b0883
EG10128,btuD,b1709
G0-10475,ytjA,b4568
EG10388,glnP,b0810
EG11695,yidG,b3675
EG10208,dapE,b2472
G7245,ypdC,b2382
G6971,cdgI,b1785
EG10023,aceB,b4014
EG11634,nohA,b1548
EG30095,serV,b2695
G7090,wzzB,b2027
EG11998,yehL,b2119
EG10953,sodA,b3908
G7679,dcuD,b3227
G6940,astE,b1744
G6747,yncJ,b1436
EG10022,aceA,b4015
EG11304,ydfE,b1577
EG30094,serU,b1975
EG10058,araG,b1900
G0-10467,ysaB,b4553
G6323,ybdG,b0577
EG11662,yedK,b1931
EG10207,dapD,b0166
G6789,ydeO,b1499
G6776,bdm,b1481
EG10589,metK,b2942
EG11303,ydfD,b1576
EG30093,serT,b0971
EG12053,ccmG,b2195
EG11995,yehI,b2118
EG10628,fpr,b3924
EG12407,iaaA,b0828
G7383,pinH,b2648
EG11257,dgcC,b0385
G6746,ydcP,b1435
G6278,glxR,b0509
EG11302,ydfC,b1573
EG30092,selC,b3658
EG12800,mlaE,b3194
G0-10463,ypfN,b4547
EG10369,gcd,b0124
EG11661,yedF,b1930
EG10205,dapA,b2478
G6494,sxy,b0959
G6623,ycgR,b1194
EG20080,glcB,b2976
EG11301,ydfB,b1572
EG30068,proM,b3799
G7047,dsrA,b1954
EG11970,yhdN,b3293
EG10511,katG,b3942
G7664,lptC,b3199
EG11623,sdaB,b2797
G6743,insQ,b1432
EG10256,eda,b1850
EG11300,ydfA,b1571
EG30067,proL,b2189
G7665,lptA,b3200
G0-10458,yehK,b4541
G6280,ybbW,b0511
EG11660,yedE,b1929
EG10088,asd,b3433
G6319,cusR,b0571
G6532,dgcT,b1025
EG10025,aceF,b0115
EG11130,hokD,b1562
EG30066,proK,b3545
EG12052,ccmH,b2194
EG11964,yibL,b3602
EG10509,katE,b1732
EG11407,dadA,b1189
G7222,tfaS,b2353
EG11242,ycaD,b0898
G6741,ydcK,b1428
EG10024,aceE,b0114
EG11129,rem,b1561
EG30065,pheV,b2967
G7659,mlaC,b3192
G0-10453,yniD,b4535
EG10352,fucP,b2801
EG11659,yedD,b1928
EG10066,argD,b3359
G6274,allS,b0504
EG12880,dgcN,b2604
EG12608,caiE,b0035
EG11120,tfaE,b1156
EG30064,pheU,b4134
EG12666,lpxH,b0524
EG11951,yjcO,b4078
G7715,yheO,b3346
EG10175,cynS,b0340
G7655,yhbX,b3173
EG11276,tnaC,b3707
G6736,mokB,b1420
EG11565,fixX,b0044
EG11020,trkG,b1363
EG30062,metZ,b2814
G7570,ygiS,b3020
G0-10605,yibV,b4615
G6267,fetB,b0491
EG11650,yafD,b0209
EG11000,thrC,b0004
G6175,rclR,b0305
EG12403,chaC,b1218
EG11564,fixC,b0043
EG11011,tolR,b0738
EG30061,metY,b3171
EG12040,yejE,b2179
EG11943,yjcH,b4068
G7689,tldD,b3244
EG10108,bcp,b2480
EG11241,ycaC,b0897
G7120,yegZ,b2083
EG11233,rstB,b1609
G6730,ynbD,b1411
EG11560,caiA,b0039
EG10898,rpoN,b3202
EG30060,metV,b2816
G7342,yphF,b2548
G0-10469,yicS,b4555
EG10346,ftsY,b3464
EG11607,yciI,b1251
EG10999,thrB,b0003
EG12246,yhjB,b3520
EG12396,dgcE,b2067
EG11559,caiB,b0038
EG10827,recE,b1350
EG30059,metU,b0666
EG12412,rfbB,b2041
EG11941,yjcF,b4066
G7571,mqsA,b3021
EG10020,cpxR,b3912
G7642,lpoA,b3147
EG11005,tnaA,b3708
G6729,ynbC,b1410
EG11557,caiD,b0036
EG10813,racC,b1351
EG30058,metT,b0673
G7039,tcyJ,b1920
G0-10464,ypjJ,b4548
G6265,qmcA,b0489
EG11537,yceH,b1067
EG10587,metH,b4019
EG12243,gadX,b3516
EG12252,pdeH,b3525
G7565,dkgA,b3012
EG10779,pspD,b1307
EG30057,lysW,b0745
EG12038,yejB,b2178
EG11938,pdeC,b4061
G7467,yqeI,b2847
G7358,ratA,b2619
EG10964,speF,b0693
G7044,intG,b1936
EG11229,fdnI,b1476
G6704,ynbE,b1382
G6958,ydjG,b1771
EG10778,pspC,b1306
EG30056,lysV,b2404
G7017,znuA,b1857
G0-10459,yohO,b4542
EG10345,ftsX,b3462
EG11464,yigF,b3817
EG10584,metE,b3829
EG12190,eutR,b2437
EG12002,yehP,b2121
G6891,gloA,b1651
EG10777,pspB,b1305
EG30055,lysT,b0743
EG12411,rfbD,b2040
EG11937,yjcB,b4060
G6444,rcdA,b0846
G6882,slyA,b1642
G7618,yhaI,b3104
EG10930,sdaA,b1814
G6703,ydbH,b1381
G6497,mgsA,b0963
EG10776,pspA,b1304
EG30054,leuZ,b1909
G6803,lsrB,b1516
G0-10454,yobH,b4536
G6262,ybaT,b0486
EG11323,ygfB,b2909
EG10583,metC,b3008
EG12105,yeiE,b2157
EG11643,dgcZ,b1535
G6475,gloC,b0927
EG10737,pinE,b1158
EG30053,leuX,b4270
EG12034,setB,b2170
EG11936,yjbR,b4057
G6337,rnk,b0610
G6619,hlyE,b1182
EG10249,dsdA,b2366
G6632,ychG_1,b1240
EG11228,fdnH,b1475
G6702,hslJ,b1379
G6099,gloB,b0212
EG10684,pal,b0741
EG30052,leuW,b0672
G6781,ddpA,b1487
G0-10606,yjbT,b4620
EG10344,ftsW,b0089
EG11287,ygbA,b2732
EG10581,metA,b4013
EG12031,yeiL,b2163
EG11447,csrA,b2696
EG10035,aldA,b1415
EG10673,ompT,b0565
EG30051,leuV,b4368
EG12274,wecH,b3561
EG11935,yjbQ,b4056
G6273,ylbG,b0502
G6117,yafO,b0233
G7617,yhaH,b3103
EG10046,ansB,b2957
G6663,ycjY,b1327
G7545,glcD,b2979
EG10659,nmpC,b0553
EG30050,leuU,b3174
G6751,ydcS,b1440
G0-10432,ykfH,b4504
G6260,copA,b0484
EG11155,ygdB,b2824
EG11913,yijO,b3954
EG10554,malE,b4034
G7544,glcE,b4468
EG10573,mcrA,b1159
EG30049,leuT,b3798
EG12032,psuT,b2164
EG11927,yjbI,b4038
EG12191,glnK,b0450
G6110,dinJ,b0226
EG10045,ansA,b1767
G6535,ymdE,b1028
EG11225,dcuA,b4138
G6659,ycjX,b1321
G6283,glxK,b0514
EG10535,lit,b1139
EG30048,leuQ,b4370
G6648,ycjN,b1310
G0-10474,yjjZ,b4567
EG10339,ftsA,b0094
EG11142,yfaA,b2230
EG11707,yidL,b3680
EG10151,cheZ,b1881
G0-8601,glcF,b4467
EG10528,lamB,b4036
EG30047,leuP,b4369
EG12210,waaF,b3620
EG11922,yjbD,b4023
EG11733,yieP,b3755
G6109,yafQ,b0225
G7609,yqjA,b3095
G7291,eutP,b2461
G6654,ycjT,b1316
EG11583,gcl,b0507
EG10507,intD,b0537
EG30046,ileX,b3069
G6478,ssuA,b0936
G6256,fsr,b0479
EG11136,yebB,b1862
EG11140,uvrY,b1914
EG10150,cheY,b1882
EG10351,fucO,b2799
EG10438,hfq,b4172
EG30045,ileV,b0202
EG12029,nupX,b2161
EG11917,yjaH,b4001
EG11731,ravA,b3746
G0-9613,hokA,b4455
G7290,eutQ,b2460
G6376,ybfO,b0703
EG11197,yidC,b3705
G6652,ycjR,b1314
G7259,pdxK,b2418
EG10436,hflK,b4174
EG30044,ileU,b3277
G6430,gsiB,b0830
EG10336,fruA,b2167
EG11127,yciG,b1259
EG10972,gutM,b2706
EG10149,cheW,b1887
G6879,pdxY,b1636
EG10435,hflC,b4175
EG30043,ileT,b3852
EG11982,wbbH,b2035
EG11916,yjaG,b3999
EG11554,stpA,b2669
G0-9610,hokB,b4428
G7595,aer,b3072
G7289,eutT,b2459
G6651,ycjQ,b1313
EG11487,pdxH,b1638
EG10416,grpE,b2614
EG30042,hisR,b3797
G6359,gltI,b0655
G6255,mscK,b0465
EG11117,yceB,b1063
EG10839,rfaH,b3842
EG10148,cheR,b1884
EG11448,acs,b4069
EG10280,fadL,b2344
EG30041,glyY,b4165
EG12020,mdtQ,b2138
EG11894,yeeD,b2012
EG11512,satP,b0010
G0-9607,ldrC,b4423
G7285,eutE,b2455
G6348,ybeM_2,b0626
EG11194,xanP,b3654
G6642,ymjA,b1295
M004,rpe,b3386
EG10228,dicC,b1569
EG30040,glyX,b4164
G6217,tauA,b0365
EG10333,frdD,b4151
G7951,yjjU,b4377
EG10656,sfsB,b3188
EG10147,cheB,b1883
EG12100,tktB,b2465
EG10227,dicB,b1575
EG30039,glyW,b1911
EG11981,glf,b2036
EG11874,yiiQ,b3920
EG11431,yfeC,b2398
G0-9605,ldrB,b4421
G7586,yqiH,b3047
G7283,eutG,b2453
G6640,yciW,b1287
EG11797,talA,b2464
EG10226,dicA,b1570
EG30038,glyV,b4163
G2002,sapA,b1294
G6248,mdlA,b0448
G7941,yjiX,b4353
G8207,gatR_1,b2087
EG10146,cheA,b1888
EG11556,talB,b0008
EG10126,btuB,b3966
EG30037,glyU,b2864
EG12017,yohD,b2136
EG11860,yiiG,b3896
EG11356,fliZ,b1921
G0-9602,ldrA,b4419
G7271,eutL,b2439
G6119,ykfJ,b0235
EG11186,yiaA,b3562
G6636,yciQ,b1268
EG11443,rpiA,b2914
EG10067,argF,b0273
EG30036,glyT,b3978
EG20252,xylF,b3566
EG10332,frdC,b4152
G7938,yjiT,b4342
G7936,yjiR,b4340
G7934,rpnD,b4338
EG11427,tktA,b2935
EG10050,appY,b0564
EG30035,gltW,b2590
EG11980,rfbX,b2037
EG11855,yiiF,b3890
EG11208,arpA,b4017
G0-9563,hokC,b4412
G7559,yqhA,b3002
G7270,eutK,b2438
G6631,ychS,b1228
G7627,tdcE,b3114
G7832,fxsA,b4140
EG30034,gltV,b4008
EG12799,mlaD,b3193
G6242,ppiD,b0441
G7930,yjiK,b4333
G7924,hypT,b4327
G7935,yjiQ,b4339
EG20173,pta,b2297
EG11892,sbmC,b2009
EG30033,gltU,b3757
EG12011,yehY,b2130
EG11839,yihM,b3873
EG11162,fumE,b2929
G0-9041,ldrD,b4453
G6646,puuE,b1302
G6114,lafU,b0230
EG11183,damX,b3388
G6625,ycgY,b1196
EG13139,tynA,b1386
EG11506,ftsH,b3178
EG30032,gltT,b3969
EG12517,ytfQ,b4227
EG10303,fhuB,b0153
G7887,yjgN,b4257
G7912,yjhI,b4299
G7528,yggT,b2952
EG11172,tdcD,b3115
EG10603,mprA,b2684
EG30031,glnX,b0664
EG11979,rfbC,b2038
EG11832,yihF,b3861
EG10949,sfsA,b0146
EG12165,mukF,b0922
G7549,yghQ,b2983
G6645,puuD,b1298
G6617,ycgM,b1180
EG10993,tdh,b3616
EG10542,lon,b0439
EG30030,glnW,b0668
EG12458,alsB,b4088
G6241,yajR,b0427
G7876,ytfP,b4222
G7854,ulaR,b4191
G7395,kbp,b2665
EG10990,tdcB,b3117
G7908,insA-7,b4294
EG30029,glnV,b0665
EG12009,yehW,b2128
EG11825,yddE,b1464
EG10735,phoU,b3724
EG11131,relE,b1563
G6644,puuA,b1297
G6113,lfhA,b0229
EG11180,mscL,b3291
G6614,ycgJ,b1177
EG10582,metB,b3939
G7906,insO-2,b4285
EG30028,glnU,b0670
EG12427,modA,b0763
EG10298,fepG,b0589
G7872,ytfK,b4217
G7727,frlR,b3375
G6417,ybiO,b0808
EG10512,kbl,b3617
G7905,insI-3,b4284
EG30025,aspV,b0216
EG11978,rfbA,b2039
EG11806,yebE,b1846
G0-10592,rydC,b4597
EG10836,relB,b1564
G7542,glcA,b2975
EG50007,eutC,b2440
G6613,ycgI,b1173
EG10027,ackA,b2296
G7904,insN-2,b4283
EG30024,aspU,b0206
EG12334,btuF,b0158
G6233,proY,b0402
G7871,ytfJ,b4216
G7630,agaR,b3131
G0-9562,ecnB,b4411
EG11329,gabD,b2661
G7900,insG,b4278
EG30023,aspT,b3760
EG11971,nupC,b2393
EG11780,ydeK,b1510
EG10741,pmbA,b4235
EG50006,eutB,b2441
G0-16679,insI2,b4708
EG11160,mscS,b2924
G6611,ymgD,b1171
EG10361,gabT,b2662
G7895,insD-6,b4273
EG30022,asnV,b1989
EG12075,nikA,b3476
EG10297,fepE,b0587
G7864,ytfB,b4206
G7619,yhaJ,b3105
G0-41,ecnA,b4410
G85,xapA,b2407
G7894,insC-6,b4272
EG30021,asnU,b1986
EG11923,yjbE,b4026
EG11766,yibJ,b3595
EG10439,hha,b0460
G7533,mltC,b2963
EG11822,puuB,b1301
G6607,ymgC,b1167
G6358,rihA,b0651
G7777,insK,b3558
EG30020,asnT,b1977
EG12037,yejA,b2177
G6227,yaiW,b0378
G7850,yjfM,b4185
G7518,ygfI,b2921
EG12866,proQ,b1831
EG20257,nrdE,b2675
G7776,insJ,b3557
EG30019,argZ,b2692
EG11961,lldP,b3603
EG11743,yddB,b1495
EG10373,mokC,b0018
EG11558,caiC,b0037
G0-16676,yrdF,b4697
EG11141,yedA,b1959
G6605,ymgA,b1165
EG20098,hpt,b0125
G7769,insH-11,b3505
EG30018,argY,b2693
EG12012,osmF,b2131
EG10296,fepD,b0590
G7848,yjfK,b4183
G7416,ygbI,b2735
EG12202,treR,b4241
EG12381,nrdF,b2676
G7762,insB-6,b3445
EG30017,argX,b3796
EG11553,glmM,b3176
EG11722,yieE,b3712
G7233,emrK,b2368
G7507,uacT,b2888
EG10036,puuC,b1300
G6604,ycgZ,b1164
EG12302,tmk,b1098
G7761,insA-6,b3444
EG30016,argW,b2348
EG11629,potF,b0854
G6219,tauC,b0367
G7846,yjfI,b4181
G7257,yfeR,b2409
EG11885,opgG,b1048
EG12030,rihB,b2162
G7672,insH-10,b3218
EG30015,argV,b2694
EG11958,alsC,b4086
EG11719,yidX,b3696
G7948,bglJ,b4366
G7172,pmrD,b2259
G7855,ulaG,b4192
G0-16674,ykgS,b4688
EG11123,yciC,b1255
G6601,ycgX,b1161
EG11934,aphA,b4055
G7584,insD-5,b3045
EG30014,argU,b0536
EG11628,artJ,b0860
EG10289,fecD,b4288
G7844,yjeT,b4176
G7137,rcnR,b2105
EG11752,otsB,b1897
EG11701,udk,b2066
G7583,insC-5,b3044
EG30013,argQ,b2691
EG11458,rffM,b3794
EG11713,yidR,b3689
G7913,sgcR,b4300
G7168,arnA,b2255
G7501,xanQ,b2882
G7757,yhhX,b3440
G6578,ycfZ,b1121
EG11539,pyrH,b0171
G7548,insH-9,b2982
EG30012,alaX,b2396
EG11625,artI,b0863
G6206,mhpT,b0353
G7839,yjeO,b4158
G7088,yeeY,b2015
EG11391,osmY,b4376
EG11418,dcd,b2065
G7481,insC-4,b2861
EG30011,alaW,b2397
EG11948,nrfE,b4074
EG11712,yidQ,b3688
G7891,idnR,b4264
G7166,arnB,b2253
G7747,yhgH,b3413
G0-16672,yjhZ,b4657
EG11113,yccA,b0970
G6563,yceQ,b1085
EG11332,upp,b2498
G7480,insD-4,b2860
EG30010,alaV,b0203
EG11574,tbpA,b0068
EG10288,fecC,b4289
G7835,yjeJ,b4145
G6814,ydfH,b1540
EG11037,tufB,b3980
EG11326,codA,b0337
G7255,insL-3,b2394
EG30009,alaU,b3276
EG11457,wzyE,b3793
EG11690,yicN,b3663
G7821,alsR,b4089
G7057,hprR,b1969
G7465,yqeG,b2845
G7739,hofM,b3395
G6536,ycdU,b1029
EG11265,cmk,b0910
G7150,insH-8,b2192
EG30008,alaT,b3853
EG11504,metQ,b0197
G6093,bamA,b0177
G7834,yjeI,b4144
G6812,yneJ,b1526
EG11036,tufA,b3339
EG11102,gsk,b0477
G7126,insF-5,b2089
EG12167,cmoM,b0921
EG11947,nrfD,b4073
EG11684,yicH,b3655
G7789,dgoR,b4479
G6322,cusB,b0574
G7738,hofN,b3394
G0-16671,yjhY,b4656
EG11104,entS,b0591
G6513,yccM,b0992
EG11090,mtn,b0159
G7125,insE-5,b2088
EG11268,fmt,b3288
EG11047,ugpB,b3453
EG10272,exbD,b3005
G7828,yjdI,b4126
EG11809,purT,b1849
G6799,lsrR,b1512
EG11017,treA,b1197
EG11082,rihC,b0030
G7092,insH-7,b2030
EG10997,mnmE,b3706
EG11456,wecE,b3791
EG11651,yafE,b0210
G7678,nanR,b3226
G0-9561,blr,b4409
G7447,gudP,b2789
G7737,hofO,b3393
G6512,ymcE,b0991
EG11045,udp,b3831
G7077,insC-3,b1997
G7525,yqgF,b2949
EG10929,sbp,b3917
G436,nanT,b3224
G7825,yjdF,b4121
EG11314,purB,b1131
G6737,ydcI,b1422
EG10773,proX,b2679
EG11002,thyA,b2827
G7076,insD-3,b1996
G0-8914,gadY,b4452
EG11946,nrfC,b4072
EG11645,ydeJ,b1537
G7546,glcC,b2980
EG50005,nfsB,b0578
G7736,hofP,b3392
G0-16670,yjdQ,b4654
EG11096,yajC,b0407
G6510,cspH,b0989
EG10994,tdk,b1238
G7074,insH-6,b1994
G0-8913,sibD,b4447
EG10815,rbsB,b3751
EG10271,exbB,b3006
G7823,yjcZ,b4110
EG10799,purN,b2500
G6720,paaX,b1399
EG10771,proV,b2677
EG10965,gmk,b3648
G7030,insA-5,b1894
G0-8886,sibC,b4446
EG11455,rffC,b3790
EG11604,smf,b4473
G7331,hcaR,b2537
EG30063,micF,b4439
G7437,ygcS,b2771
G7634,agaS,b3136
G6499,yccU,b0965
EG10810,pyrG,b2780
G7029,insB-5,b1893
G0-8885,sibB,b4437
EG10752,potD,b1123
G2001,sapB,b1293
G7797,yifO,b3776
EG10798,purM,b2499
G6664,pgrR,b1328
EG10680,osmC,b1482
EG10809,pyrF,b1281
G6725,insI-2,b1404
G0-8884,sibA,b4436
EG11942,actP,b4067
EG11603,ygiF,b3054
G7326,iscR,b2531
EG12867,ampH,b0376
G7288,eutD,b2458
G0-16669,yicT,b4653
EG11076,xylE,b4031
G6495,yccS,b0960
EG10795,purH,b4006
G6724,insC-2,b1403
G0-8882,omrB,b4445
EG10734,pstS,b3728
EG10269,envZ,b3404
G7759,yhhZ,b3442
EG10797,purL,b2557
G6658,ycjW,b1320
EG10679,osmB,b1283
EG10790,purA,b4177
G6723,insD-2,b1402
G0-8868,omrA,b4444
EG11454,rffH,b3789
EG11592,ybeD,b0631
G7308,hyfR,b2491
EG12656,mdaB,b3028
G7421,ygbN,b2740
G6868,ydgJ,b1624
G6459,ybjD,b0876
EG10661,nrdB,b2235
G6697,pinR,b1374
G0-10602,sibE,b4611
EG10593,mglB,b2150
G2000,sapC,b1292
G7734,yhfY,b3382
EG10796,purK,b0522
G6638,yciT,b1284
EG10241,dnaK,b0014
EG10660,nrdA,b2234
G6693,insH-5,b1370
G0-10598,ohsC,b4608
EG11940,yjcE,b4065
EG11579,ybiA,b0798
G7072,nac,b1988
EG12019,yohF,b2137
G0-16668,yibU,b4652
EG11054,uhpT,b3666
G6453,ybjS,b0868
EG10650,ndk,b2518
G6667,insH-4,b1331
G7751,rtcB,b3421
EG10540,livK,b3458
EG10267,acrF,b3266
G7733,yhfX,b3381
EG10794,purF,b2312
EG10422,guaC,b0104
G6546,csgD,b1040
EG10111,betI,b0313
G0-9388,sroH,b4691
G6534,insE-4,b1027
EG12455,lplT,b2835
EG11453,rffG,b3788
EG11526,ydcC,b1460
G7003,kdgR,b1827
G7352,bamD,b2595
EG11865,rhaM,b3901
G6450,ybjP,b0865
EG10421,guaB,b2508
G6533,insF-4,b1026
G0-9385,sroE,
EG10539,livJ,b3460
G0-9981,dinQ,b4613
G7728,yhfS,b3376
EG10793,purE,b0523
G6467,ycaN,b0900
EG10110,betB,b0312
EG10420,guaA,b2507
G6509,insB-4,b0988
G0-9384,sroD,
EG11939,ghxP,b4064
EG11524,ybfD,b0706
G6867,uidR,b1618
G0-16667,yibW,b4651
EG11053,uhpC,b3667
G6448,ybjO,b0858
EG10414,gpt,b0238
G6489,uup,b0949
G0-9383,sroC,
EG10386,glnH,b0811
EG10264,entF,b0586
G7699,yrdD,b3283
EG10792,purD,b4005
EG10251,dut,b3640
G6263,cueR,b0487
EG10044,osmE,b1739
G0-9382,chiX,b4585
G6377,ybfL,b0705
EG12235,arsR,b3501
EG11452,wecC,b3787
EG11522,ybfB,b0702
G6706,feaR,b1384
G7347,rseC,b2570
G6446,ybjM,b0848
EG10225,dgt,b0160
G6360,insH-3,b0656
G0-9381,sroA,
EG10248,dppA,b3544
G0-10594,ynhF,b4602
G7697,yrdB,b3280
EG10791,purC,b2476
G6247,decR,b0447
G7743,hslR,b3400
EG10222,deoD,b4384
G6327,insL-2,b0582
G0-8905,isrC,b4435
EG11914,eptC,b3955
EG11516,ycgB,b1188
G6395,modE,b0761
G0-16666,yibS,b4650
EG11052,uhpB,b3668
G6441,ybjH,b0843
EG10221,deoC,b4381
G6320,cusC,b0572
G0-8904,isrB,b4434
EG10195,cysP,b2425
EG10263,entE,b0594
G7696,yrdA,b3279
G7185,yfbR,b2291
EG10220,deoB,b4383
G6181,yahB,b0316
G6511,cspG,b0990
G0-8883,sdsR,b4433
G6308,insH-2,b0552
EG12116,acrR,b0464
EG11451,wecB,b3786
EG11515,yhcA,b3215
G6346,dpiA,b0620
G7340,yphD,b2546
G6408,ybhQ,b0791
EG10219,deoA,b4382
G6297,insF-3,b0541
G0-8881,rybA,b4416
EG10072,argT,b2310
G0-10460,arnE,b4544
G7693,yhdT,b3257
G6188,yahI,b0323
G6170,ykgA,b0300
G6470,ycaL,b0909
EG10160,cpdB,b4213
G6296,insE-3,b0540
G0-8880,rybB,b4417
EG11902,yijE,b3943
EG11467,yigI,b3820
G6276,allR,b0506
G0-16665,ysaD,b4649
EG11049,ugpE,b3451
G6402,ybhK,b0780
EG10137,cdd,b2143
G6224,insE-2,b0373
G0-8879,ryfA,b4440
EG10057,araF,b1901
EG10262,entD,b0583
